Sigla;Descricao;Fuste;CAP;Altura;Hipsometrica;Extra_Dano;Dominante
0;Normal;.;S;.;S;N;S
2;Multipla;S;S;.;N;.;N
3;Falha;N;N;N;N;N;N
4;Bifurcada acima do CAP;.;S;.;N;N;N
5;Morta ou Seca;.;S;.;N;.;N
6;Quebrada;.;S;.;N;S;N
7;Ponteira Seca;.;S;.;N;S;N
8;Inclinada pelo Vento;.;S;N;N;N;N
9;Torta;.;S;.;N;S;N
10;Dominada;.;.;.;N;N;N
11;Ferida na Base;.;S;.;N;S;N
12;Ataque Macaco (Janela);.;S;.;N;S;N
13;Ataque Macaco (Anel);.;S;.;N;S;N
14;Caida ou Deitada;N;N;N;N;N;N
15;Caida Raiz / Vento;N;N;N;N;N;N
16;Geada;.;.;.;N;N;N
17;Pragas ou Doencas;.;S;.;N;.;N
18;Atacada por Formiga;.;S;.;N;N;N
19;Fox Tail;.;S;.;N;S;N
20;MarcadaDesbaste;.;S;.;S;N;S
21;Deitada pelo Vento;.;S;N;N;N;N
22;Rebrota;S;S;.;N;.;N
23;Vespa da Madeira;.;S;.;N;.;N
X;Outros;.;S;.;N;.;N
