NomeCientifico;NomeComum;Familia;FatorForma;Regiao;Area de Ocorrencia;Descricao-Area de Ocorrencia
A identificar;Desconhecida;Desconhecida;0,5;Todas;;
Pouteria torta;Abiu;Sapotaceae;0,5;Cerrado;;
Pouteria torta;Abiu Do Cerrado;Sapotaceae;0,5;Cerrado;;
Luehea paniculata;Açoita Cavalo;Malvaceae;0,5;Cerrado;;
Vatairea macrocarpa;Amargoso;Leguminosae-Papilionoideae;0,5;Cerrado;;
Pterogyne nitens;Amendoim Bravo;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Acosmium subelegans;Amendoim Falso;Leguminosae-Papilionoideae;0,5;Cerrado;;
Protium heptaphyllum;Amescla;Burseraceae;0,5;Cerrado;;
Andira anthelmia;Angelim;Leguminosae-Papilionoideae;0,5;Cerrado;;
Andira anthelmia;Angelim De Morcego;Leguminosae-Papilionoideae;0,5;Cerrado;;
Anadenanthera peregrina;Angico;Leguminosae-Mimosoideae;0,5;Cerrado;;
Anadenanthera columbrina;Angico Branco;Leguminosae-Mimosoideae;0,5;Cerrado;;
Anadenanthera falcata;Angico Do Cerrado;Leguminosae-Mimosoideae;0,5;Cerrado;;
Acacia polyphylla;Angico Preto;Leguminosae-Mimosoideae;0,5;Cerrado;;
Anadenanthera macrocarpa;Angico Vermelho;Leguminosae-Mimosoideae;0,5;Cerrado;;
Psidium firmum;Araçá;Myrtaceae;0,5;Cerrado;;
Annona coriacea;Araticum;Annonaceae;0,5;Cerrado;;
Annona crassiflora;Araticum Cortiça;Annonaceae;0,5;Cerrado;;
Annona crassiflora;Araticum Do Cerrado;Annonaceae;0,5;Cerrado;;
Annona coriacea;Araticum Do Mato;Annonaceae;0,5;Cerrado;;
Astronium urundeuva;Aroeira;Anacardiaceae;0,5;Cerrado;;
Lithraea molleoides;Aroeirinha;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Annona cornifolia;Ata;Annonaceae;0,5;Cerrado;;
Acrocomia aculeata;Bacaiuva;Arecaceae;0,5;Cerrado;;
Diptychandra aurantiaca;Balsaminho;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Diptychandra aurantiaca;Balsimi;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Stryphnodendron adstringens;Barbatimão;Leguminosae-Mimosoideae;0,5;Cerrado;;
Prosopis rubriflora;Barreiro Preto;Leguminosae-Mimosoideae;0,5;Cerrado;;
Dipteryx alata;Baru;Leguminosae-Papilionoideae;0,5;Cerrado;;
Eriotheca gracilipes;Bingueiro;Malvaceae;0,5;Cerrado;;
Casearia sylvestris;Bugreiro;Salicaceae;0,5;Cerrado;;
Mauritia flexuosa;Buriti;Arecaceae;0,5;Cerrado;;
Rhamnidium elaeocarpus;Cabrito;Rhamnaceae;0,5;Cerrado;;
Casearia sylvestris;Cafezinho Do Mato;Salicaceae;0,5;Cerrado;;
Spondias macrocarpa;Caja;Anacardiaceae;0,5;Cerrado;;
Anacardium humile;Cajuzinho Do Cerrado;Anacardiaceae;0,5;Cerrado;;
Aloysia virgata;Camará;Verbenaceae;0,5;Cerrado;;
Aloysia virgata;Camará De Lixa;Verbenaceae;0,5;Cerrado;;
Vochysia divergens;Cambara;Vochysiaceae;0,5;Cerrado;;
Vochysia haenkeana;Cambara Amarelo;Vochysiaceae;0,5;Cerrado;;
Cupania vernalis;Camboata;Sapindaceae;0,5;Cerrado;;
Piptocarpha rotundifolia;Candeia;Asteraceae;0,5;Cerrado;;
Helietta apiculata;Canela De Veado;Rutaceae;0,5;Cerrado;;
Miconia albicans;Canela De Velho;Melastomataceae;0,5;Cerrado;;
Nectandra cissiflora;Canela Grande;Lauraceae;0,5;Cerrado;;
Ocotea corymbosa;Canela Merda;Lauraceae;0,5;Cerrado;;
Ocotea corymbosa;Canela Preta;Lauraceae;0,5;Cerrado;;
Peltophorum dubium;Canfistula;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Byrsonima orbignyana;Canjiquinha;Malpighiaceae;0,5;Cerrado;;
Terminalia argentia;Capitão;Combretaceae;0,5;Cerrado;;
Terminalia brasiliensis;Capitãozinho;Combretaceae;0,5;Cerrado;;
Diospyros hispida;Caqui Do Mato;Ebenaceae;0,5;Cerrado;;
Copernicia prunifera;Caranda;Arecaceae;0,5;Cerrado;;
Roupala montana;Carne De Vaca;Proteaceae;0,5;Cerrado;;
Jacaranda brasiliana;Caroba;Bignoniaceae;0,5;Cerrado;;
Callisthene fasciculata;Carvão;Vochysiaceae;0,5;Cerrado;;
Diptychandra aurantiaca;Carvão Vermelho;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Sclerolobium paniculatum;Carvoeiro;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Calycophyllum multiflorum;Castelo;Rubiaceae;0,5;Cerrado;;
Trichilia hirta;Catigua;Meliaceae;0,5;Cerrado;;
Dalbergia miscolobium;Caviuna;Leguminosae-Papilionoideae;0,5;Cerrado;;
Machaerium hirtum;Cebolão;Leguminosae-Papilionoideae;0,5;Cerrado;;
Amburana cearensis;Cerejeira/Amburana;Leguminosae-Papilionoideae;0,5;Cerrado;;
Sterculia apetala;Chicha;Sterculiaceae;0,5;Cerrado;;
Hirtella ciliata;Chorão;Chrysobalanaceae;0,5;Cerrado;;
Piptocarpha rotundifolia;Cinzeiro;Asteraceae;0,5;Cerrado;;
Cipo;Cipó;Cipo;0,5;Cerrado;;
Salvertia convallariaeodora;Colher De Vaqueiro;Vochysiaceae;0,5;Cerrado;;
Rollinia sylvatica;Conde Do Mato;Annonaceae;0,5;Cerrado;;
Copaifera langsdorffii;Copaíba;Leguminosae-Papilionoideae;0,5;Cerrado;;
Mouriri elliptica;Coroa;Memecylaceae;0,5;Cerrado;;
Mouriri elliptica;Croada;Memecylaceae;0,5;Cerrado;;
